"code_agrologic";"designation";"ca"
21458;"SAM VOL 55 x 2 UFAUC   10x  .11";4535
21459;"SOIREE ASIE UFAUC    4x  .430 0";101256
21460;"RIZ CANTONAIS 300G UF    6x  .3";78929
21461;"N PORC 75 x 2 UFAUC    8x  .170";15098
21462;"N PORC 30 x 6 UFAUC    8x  .200";20311
21464;"ACRAS 20 x 6 UFAUC    8x  .120";20673
21466;"RAVIO 25 x 6 UFAUC    8x  .170";10846
21467;"SAM BOEUF 65 x 2 UFAUC    8x  .";14399
21468;"SAM VOL 55 x 2 UFAUC    8x  .11";2419
21470;"N CRABE 30G x6 UFAUC    8x  .20";14102
21506;"N PORC 20G MDSU    6x  .220 021";109946
21507;"B CREVETTE 20G MDSU    6x  .140";119871
21600;"SCE NUOC MAM BOCAL MDAUCH   24x";104619
21602;"N CREV 20 x 10 MDAUC    8x  .22";206001
21604;"CREV P x 6 MDAUC    8x  .140 02";136592
21605;"RAVIO x 8 MDAUC    8x  .220 021";49916
21606;"N CREV 75 x 4 MDAUC    8x  .340";243471
21607;"N PORC 75 x 4 MDAUC    8x  .340";182583
21608;"N POUL 75 x 4 MDAUC    8x  .340";152849
21609;"N PORC 75 x 8 MDAUC    8x  .660";396572
21610;"SAMOSSA  x 6 MDAUC    8x  .170";90122
21613;"ACRA 15G x 12 MDAUC    8x  .200";78304
21618;"N POUL 75G x 8 MDAUC    8x  .66";341426
21619;"N CREV 75G x 8 MDAUC    8x  .66";477109
21621;"APERITIF ASIA MDAUC    8x  .320";240608
21622;"ASS INDIEN MDAUC    8x  .320 02";149760
21623;"ASS CREOLE MDAUC    8x  .320 02";110814
21624;"ASS GREC MDAUC    8x  .320 021";95236
21625;"ASS ASIA MDAUC    4x  .535 021";444414
21632;"MENU DEC MDAUC    4x  .854 021";43074
21636;"10 ACRAS MORUE 220G MDAUC    8x";22353
21637;"12 MINI SAM VOL 340G MDAUC    8";21411
21638;"6 BEIGNET CREV 140G MDAUC    8x";41956
21639;"16 MINI N 360G MDAUC    8x  .36";147348
21640;"4 MINI N PLT 160G MDAUC    8x";23141
21641;"4 N CREV 300G MDAUC    8x  .300";68738
21642;"4 N PORC 300G MDAUC    8x  .300";43485
21643;"4 N PLT 300G MDAUC    8x  .300";36207
21644;"4 SAM BOF 240G MDAUC    8x  .24";12865
21645;"4 SAM LEG MDAUC 8X240G    8x  .";5912
21646;"4 SAM VOLAILLE 240G MDAUC    8x";6303
21647;"8 RAV CHINOI FRIT 220G MDAUC";10534
21648;"GD PLAT ASIA 600G MDAUC    4x";141449
21649;"8 SAM VOLAILLE 460G MDAUC    8x";16949
21650;"8 N PLT 580G MDAUC    8x  .580";75460
21651;"8 N PORC 580G MDAUC    8x  .580";90813
21652;"8 N CREV 580G MDAUC    8x  .580";112507
21653;"8 SAM BOF 460G MDAUC    8x  .46";20655
21654;"PLAT APERITIF ASIA MDAUC 6X300G";64508
21656;"8 SAM LEG 460G    8x  .460 021";16341
21700;"N CREV 30 x 6 UFCAR    8x  .200";217359
21701;"N PORC 30G x 6 UFCAR    8x  .20";100824
21702;"N POUL 30G x 6 UFCAR    8x  .20";144958
21703;"N PORC 75G x 2 UFCAR    8x  .15";16760
21704;"SAM BOEUF 70G UFCAR    8x  .140";57633
21705;"SAM VOL 70G UFCAR    8x  .140 0";23784
21706;"G CRABE 100G UFCAR    8x  .200";36209
21707;"N PORC 75G x 6 UFCAR    6x  .45";145274
21708;"N PORC 30 x 10 UFCAR    6x  .30";188285
