CODE_ARTICE;LIBELLE;id_fta;date_derniere_maj_fta
10703;"BLANC DE SEICHE LAIT COCO TR";690;"2006-06-09"
10705;"LEGUMES CHOP SUEY TR";691;"2006-06-09"
10711;"FRICASSEE DE CEPES 100G";692;"2006-06-09"
10714;"CHAPON SCE TRUFFEE 250G";693;"2006-06-09"
10715;"CHEVREUIL SCE GD VENEUR 180G";694;"2006-06-09"
10727;"MENU AUCHANT ENFANT";97;"2002-11-26"
10728;"FILET CANARD SCE FOIE GRAS SYS U";695;"2006-06-09"
10730;"NOIX DE ST JACQUES SYS U 200G";697;"2006-06-09"
10769;"CUISSE DE CANARD AUX GRIOTTES";698;"2006-06-09"
10778;"RIZ SAUVAGE";699;"2006-06-09"
10796;"BOEUF AU SATE TTDA";112;"2006-04-12"
10807;"AUBERGINES TOMATE COUPE";700;"2006-06-09"
10814;"MENU GASTRONOMIQUE AUCHAN";99;"2002-11-26"
10827;"CASS DE LANGOUSTES (TAG) 120G";347;"2006-03-27"
10829;"EMBEURREE 2 POMMES RAISINS (TAG) 90G";701;"2006-06-09"
10836;"EMIETTE CRABE AGRUME SYS U";407;"2004-12-22"
10838;"TIMBALE ECREVISSE CHABLIS SYS U";408;"2004-12-22"
10840;"SAUCE AU POIVRE SYS U";412;"2004-12-22"
10841;"SAUCE HOLLANDAISE SYS U";409;"2004-12-22"
10842;"SAUCE CORAIL OURSIN SYS U";410;"2004-12-22"
10843;"MAGRET CANARD SYS U";414;"2004-12-22"
10844;"SAUCE FOIE GRAS SYS U";411;"2004-12-22"
10845;"SAUCE GIROLLES SYS U";413;"2004-12-22"
10848;"FILET MIGNON PORC GIROLLES SYS U";405;"2004-12-22"
10849;"PAVE VEAU SCE FOIE GRAS";702;"2006-06-09"
10916;"MOUSS FG FIGUES COUPE";703;"2006-06-09"
11000;"BABY NEM 30 COUPE (2X50 PCES)";704;"2006-06-09"
11007;"SAMOSSA BŒUF 25G COUPE";705;"2006-06-09"
11014;"NEMS PORC 75G COUPE TDA";706;"2006-06-09"
11015;"NEMS CREVETTE 75G COUPE TDA";707;"2006-06-09"
11016;"NEMS POULET 75G COUPE TDA";708;"2006-06-09"
11018;"NEMS CRABE 30G COUPE TDA";709;"2006-06-09"
11019;"CRABE FARCI COUPE";710;"2006-06-09"
11021;"BEIGNET D'ANANAS";711;"2006-06-09"
11022;"BONBON PIMENT";712;"2006-06-09"
11023;"ACRA DE MORUE 30G COUPE";713;"2006-06-09"
11024;"BEIGNET CREVETTE 30G COUPE";714;"2006-06-09"
11025;"SAMOSSA BOEUF 70G COUPE";715;"2006-06-09"
11026;"BEIGNET DE CALAMAR TR";716;"2006-06-09"
11027;"PANSOTI TR";717;"2006-06-09"
11028;"EMPANADILLAS CHORIZO TR";718;"2006-06-09"
11029;"TYROPITTA TR";719;"2006-06-09"
11030;"MINI BOUDIN CREOLE TR";720;"2006-06-09"
11031;"SAMBO TR";721;"2006-06-09"
11034;"POULET TIKKA TR";722;"2006-06-09"
11035;"BHAJI OIGNONS TR";723;"2006-06-09"
11038;"SAUCE NUOC MAM 20G X240";242;"2003-07-03"
11042;"CREVETTES PANEES 15G x25 COUPE TDA";725;"2006-06-09"
11053;"SAUCE NUOC MAM 40G";728;"2006-06-09"
11056;"NEMS PORC 35G COUPE TDA";729;"2006-06-09"
11059;"SAMOSSAS PORC 65G COUPE TDA";731;"2006-06-09"
11062;"PASTILLAS 70G COUPE TDA";732;"2006-06-09"
11065;"SAMOSSAS VOLAILLE 50G COUPE";733;"2006-06-09"
11066;"SAMOSSAS LÉGUMES 50G COUPE";734;"2006-06-09"
11083;"CROUSTILLANT FETA MENTHE 25G";240;"2006-03-21"
11084;"BOUCHEE AGNEAU AUBERGINE 25G";241;"2006-03-21"
11465;"BEIGNETS DE POMME 50G COUPE";741;"2006-06-09"
